map,problem,algorithm,heuristic,found,path_length,cost,nodes_expanded,nodes_generated,max_frontier,time_ms
classic,path_to_nearest,bfs,-,True,1,1.0,1,1,1,0.052
classic,path_to_nearest,dfs,-,True,1,1.0,2,2,2,0.03
classic,path_to_nearest,ucs,-,True,1,1.0,3,3,2,0.039
classic,path_to_nearest,ids,-,True,1,1.0,4,1,0,0.022
classic,path_to_nearest,greedy,manhattan,True,1,1.0,2,2,2,0.034
classic,path_to_nearest,astar,manhattan,True,1,1.0,2,2,2,0.025
medium,path_to_nearest,bfs,-,True,1,1.0,1,1,1,0.02
medium,path_to_nearest,dfs,-,True,1,1.0,2,2,2,0.017
medium,path_to_nearest,ucs,-,True,1,1.0,3,3,2,0.029
medium,path_to_nearest,ids,-,True,1,1.0,4,1,0,0.018
medium,path_to_nearest,greedy,manhattan,True,1,1.0,2,2,2,0.02
medium,path_to_nearest,astar,manhattan,True,1,1.0,2,2,2,0.018
small,path_to_nearest,bfs,-,True,1,1.0,1,1,1,0.015
small,path_to_nearest,dfs,-,True,1,1.0,2,2,2,0.013
small,path_to_nearest,ucs,-,True,1,1.0,3,3,2,0.026
small,path_to_nearest,ids,-,True,1,1.0,4,1,0,0.016
small,path_to_nearest,greedy,manhattan,True,1,1.0,2,2,2,0.015
small,path_to_nearest,astar,manhattan,True,1,1.0,2,2,2,0.016
small,eat_all,bfs,-,True,27,27.0,4092,4490,433,36.026
small,eat_all,dfs,-,True,63,63.0,99,120,21,0.82
small,eat_all,ucs,-,True,27,27.0,4492,4899,433,41.13
small,eat_all,ids,-,True,27,27.0,139649,139594,0,865.639
small,eat_all,greedy,farthest_food,True,41,41.0,1430,1724,244,14.92
small,eat_all,astar,farthest_food,True,27,27.0,2112,2533,411,24.966
